,lst_output
0,[0.4389168918132782]
1,[0.42258045077323914]
2,[0.3840879499912262]
3,[0.33866962790489197]
4,[0.29522818326950073]
5,[0.2603593170642853]
6,[0.23781350255012512]
7,[0.22838746011257172]
8,[0.2309240847826004]
9,[0.24348299205303192]
10,[0.263839989900589]
11,[0.2894836962223053]
12,[0.31757545471191406]
13,[0.34514203667640686]
14,[0.3695540726184845]
15,[0.3890972137451172]
16,[0.40321457386016846]
17,[0.412139356136322]
18,[0.41615769267082214]
19,[0.41508516669273376]
20,[0.4083600342273712]
21,[0.3956665098667145]
22,[0.37781915068626404]
23,[0.3575913906097412]
24,[0.3393322825431824]
25,[0.32612845301628113]
26,[0.31689804792404175]
27,[0.3078981935977936]
28,[0.296385794878006]
29,[0.28213265538215637]
30,[0.26706191897392273]
31,[0.2543007433414459]
32,[0.24681644141674042]
33,[0.2462633103132248]
34,[0.2527502775192261]
35,[0.2652231454849243]
36,[0.28202423453330994]
37,[0.30125805735588074]
38,[0.3210228383541107]
39,[0.3396347165107727]
40,[0.355826735496521]
41,[0.3687655031681061]
42,[0.37781837582588196]
43,[0.3822559714317322]
44,[0.3812049627304077]
45,[0.37402480840682983]
46,[0.36102530360221863]
47,[0.344230979681015]
48,[0.3273888826370239]
49,[0.3140445947647095]
50,[0.3046649098396301]
51,[0.2965032756328583]
52,[0.286651611328125]
53,[0.2742564380168915]
54,[0.2604462802410126]
55,[0.24753035604953766]
56,[0.23808763921260834]
57,[0.2340889722108841]
58,[0.23638440668582916]
59,[0.24473191797733307]
60,[0.2581407129764557]
61,[0.2752058207988739]
62,[0.2943207025527954]
63,[0.31383392214775085]
64,[0.3322286307811737]
65,[0.34829214215278625]
66,[0.3611330986022949]
67,[0.3699672222137451]
68,[0.37385061383247375]
69,[0.3717361092567444]
70,[0.3630794286727905]
71,[0.3488257825374603]
